Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Inner South West,44,40,_Total
2018,Dec,Morocco,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - Inner South West,93,71,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Sydney - Inner South West,59,24,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Inner South West,174,143,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Sydney - Inner South West,7,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Sydney - Inner South West,71,32,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Sydney - Inner West,56,40,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Inner West,74,45,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,44,28,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,14,6,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,9,5,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,15,9,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,9,4,_Total
2018,Dec,Romania,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,102,41,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,1458,895,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,8,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,167,121,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,15,6,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - Outer South West,6,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - Outer South West,5,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - Outer South West,31,15,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,50,11,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Jordan,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,6,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,373,138,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Belize,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Bolivia,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Parramatta,239,155,_Total
2018,Dec,Brunei Darussalam,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Costa Rica,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Cyprus,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NSW,Sydney - Parramatta,14,12,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Iceland,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Sydney - Parramatta,15,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - Parramatta,10,5,_Total
2018,Dec,Rwanda,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Parramatta,326,194,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Zambia,_Total,_Total,_Total,NSW,Sydney - Parramatta,6,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - Ryde,148,62,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Sydney - Ryde,14,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Ryde,35,22,_Total
2018,Dec,Luxembourg,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Ryde,77,32,_Total
2018,Dec,Namibia,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - Ryde,722,430,_Total
2018,Dec,New Zealand,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Ryde,52,40,_Total
2018,Dec,Oman,_Total,_Total,_Total,NSW,Sydney - Ryde,12,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Ryde,172,79,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,NSW,Sydney - Ryde,5,4,_Total
2018,Dec,Yemen,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - Sutherland,65,31,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Sutherland,276,121,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NT,Darwin,49,39,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,NT,Darwin,25,17,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NT,Darwin,5,4,_Total
2018,Dec,Macau,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NT,Darwin,9,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NT,Darwin,155,99,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Brisbane - East,16,7,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Brisbane - North,230,129,_Total
2018,Dec,Colombia,_Total,_Total,_Total,QLD,Brisbane - North,24,13,_Total
2018,Dec,Maldives,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,QLD,Brisbane - North,8,4,_Total
2018,Dec,Argentina,_Total,_Total,_Total,QLD,Brisbane - South,12,10,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Botswana,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,QLD,Brisbane - South,17,6,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Brisbane - South,787,442,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,QLD,Brisbane - South,293,169,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,QLD,Brisbane - South,12,7,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Brisbane - South,17,10,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,QLD,Brisbane - South,23,11,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Slovenia,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,QLD,Brisbane - South,16,4,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,QLD,Brisbane - South,106,59,_Total
2018,Dec,Uruguay,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Afghanistan,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Cyprus,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Denmark,_Total,_Total,_Total,QLD,Brisbane - West,96,80,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Brisbane - West,155,104,_Total
2018,Dec,Guatemala,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Hungary,_Total,_Total,_Total,QLD,Brisbane - West,12,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,QLD,Brisbane - West,454,181,_Total
2018,Dec,Ireland,_Total,_Total,_Total,QLD,Brisbane - West,42,29,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Brisbane - West,298,156,_Total
2018,Dec,Morocco,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,QLD,Brisbane - West,49,34,_Total
2018,Dec,North Macedonia,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Brisbane - West,91,35,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Brisbane - West,51,29,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,QLD,Brisbane - West,52,27,_Total
2018,Dec,South Africa,_Total,_Total,_Total,QLD,Brisbane - West,29,11,_Total
2018,Dec,Thailand,_Total,_Total,_Total,QLD,Brisbane - West,179,90,_Total
2018,Dec,Trinidad and Tobago,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Turkey,_Total,_Total,_Total,QLD,Brisbane - West,19,9,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,QLD,Brisbane - West,36,7,_Total
2018,Dec,Uruguay,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,QLD,Brisbane Inner City,233,177,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,QLD,Brisbane Inner City,6,4,_Total
2018,Dec,Cote d'Ivoire,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,East Timor,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Eritrea,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,QLD,Brisbane Inner City,463,306,_Total
2018,Dec,Japan,_Total,_Total,_Total,QLD,Brisbane Inner City,1885,1233,_Total
2018,Dec,Latvia,_Total,_Total,_Total,QLD,Brisbane Inner City,12,6,_Total
2018,Dec,Mauritania,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,QLD,Brisbane Inner City,349,224,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,QLD,Brisbane Inner City,208,143,_Total
2018,Dec,Paraguay,_Total,_Total,_Total,QLD,Brisbane Inner City,13,9,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,QLD,Brisbane Inner City,177,129,_Total
2018,Dec,Australia,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Honduras,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Iraq,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Luxembourg,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Cairns,32,14,_Total
2018,Dec,Philippines,_Total,_Total,_Total,QLD,Cairns,72,53,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Central Queensland,5,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Gold Coast,44,35,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Gold Coast,623,297,_Total
2018,Dec,El Salvador,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,QLD,Gold Coast,521,266,_Total
2018,Dec,India,_Total,_Total,_Total,QLD,Gold Coast,1782,1225,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,QLD,Gold Coast,390,206,_Total
2018,Dec,Malta,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Panama,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Sudan,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Syria,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Tunisia,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,QLD,Gold Coast,31,19,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,QLD,Gold Coast,124,65,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,QLD,Gold Coast,54,19,_Total
2018,Dec,Argentina,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Jordan,_Total,_Total,_Total,QLD,Ipswich,6,4,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,QLD,Ipswich,6,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Qatar,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,QLD,Ipswich,6,4,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Logan - Beaudesert,485,315,_Total
2018,Dec,Colombia,_Total,_Total,_Total,QLD,Logan - Beaudesert,6,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Finland,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,20,15,_Total
2018,Dec,India,_Total,_Total,_Total,QLD,Moreton Bay - North,12,12,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,QLD,Moreton Bay - North,4,4,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,QLD,Sunshine Coast,11,8,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Sunshine Coast,332,264,_Total
2018,Dec,Iceland,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,QLD,Sunshine Coast,8,5,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Macau,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,QLD,Sunshine Coast,29,11,_Total
2018,Dec,Portugal,_Total,_Total,_Total,QLD,Sunshine Coast,13,7,_Total
2018,Dec,Sweden,_Total,_Total,_Total,QLD,Sunshine Coast,177,98,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,QLD,Sunshine Coast,134,94,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,QLD,Sunshine Coast,34,13,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Toowoomba,19,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Toowoomba,257,105,_Total
2018,Dec,Kenya,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,QLD,Toowoomba,7,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,QLD,Toowoomba,5,4,_Total
2018,Dec,Australia,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Denmark,_Total,_Total,_Total,QLD,Townsville,29,26,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Townsville,79,49,_Total
2018,Dec,Hungary,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,QLD,Townsville,8,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Townsville,62,48,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Townsville,5,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Zambia,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Wide Bay,26,19,_Total
2018,Dec,Iraq,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,QLD,Wide Bay,11,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,QLD,Wide Bay,8,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Algeria,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Argentina,_Total,_Total,_Total,SA,Adelaide - Central and Hills,20,11,_Total
2018,Dec,Canada,_Total,_Total,_Total,SA,Adelaide - Central and Hills,130,96,_Total
2018,Dec,Chile,_Total,_Total,_Total,SA,Adelaide - Central and Hills,41,32,_Total
2018,Dec,"Congo, Democratic Republic of",_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,SA,Adelaide - Central and Hills,14,10,_Total
2018,Dec,El Salvador,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Greece,_Total,_Total,_Total,SA,Adelaide - Central and Hills,13,9,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Illawarra,6951,2754,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Gold Coast,31028,18719,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,1848,1046,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,53,31,_Total
2019,Dec,_Total,_Total,_Total,_Total,TAS,Launceston and North East,1515,716,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (North),4,4,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Riverina,113,37,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Mornington Peninsula,1504,491,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (South),85,53,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Central West,139,58,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Perth - North West,8266,4474,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Illawarra,8642,4204,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,2308,797,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Ipswich,932,574,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Warrnambool and South West,83,45,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,47,24,_Total
2019,Dec,_Total,_Total,_Total,_Total,SA,South Australia - Outback,4,4,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Latrobe - Gippsland,238,98,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Townsville,1593,675,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Toowoomba,2060,870,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Ryde,17296,7849,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Mornington Peninsula,1111,497,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Ballarat,1215,608,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Riverina,138,47,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Richmond - Tweed,1355,685,_Total
2019,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - Central and Hills,34376,18759,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North East,14029,6873,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Bunbury,136,93,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Shepparton,36,30,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Ballarat,1625,811,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - North,20,14,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,2694,1333,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Inner,200384,108541,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,SA,South Australia - South East,41,33,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner South West,3184,1328,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Mornington Peninsula,1504,491,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Ipswich,932,574,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane Inner City,57556,33989,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Latrobe - Gippsland,108,43,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Sutherland,435,207,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Central Queensland,4,4,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North West,363,169,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - South East,9638,4117,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,Barossa - Yorke - Mid North,4,4,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - North,143,33,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - North,1219,526,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,TAS,Launceston and North East,1402,608,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Bunbury,125,60,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - North,1476,843,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Inner East,29571,14447,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,New England and North West,1068,280,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Townsville,1931,1140,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Geelong,4172,1996,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Hunter Valley exc Newcastle,4,4,Inner Regional Australia
